Uniprot_A	Uniprot_B	Interaction	Protein_A_idx	Protein_B_idx
O75475	Q92542	1	803	690
O95433	P19838	1	632	492
P16220	P18887	1	468	57
P31749	Q16143	1	2	119
P49768	Q00535	1	798	32
O96008	Q99714	1	268	511
O14920	P42345	1	652	720
O14654	P04792	1	594	484
P09917	P62993	1	566	231
O60674	P38398	1	354	551
P07858	P38936	1	37	564
P38398	Q02790	1	551	192
P34932	Q92769	1	625	683
P27348	P62993	1	500	231
P17302	Q05639	1	765	274
P01106	P02545	1	601	42
P07196	P14136	1	159	485
P01375	Q15628	1	692	745
P16949	P27361	1	235	180
P05362	P09651	1	230	78
P0CG47	P10809	1	709	529
P07339	P10147	1	327	83
P18440	Q5S007	1	392	133
P06730	P19320	1	369	58
P09211	P09622	1	431	776
P11021	Q16881	1	812	471
Q5S007	Q92945	1	133	687
P06858	P98164	1	35	786
P16284	P61073	1	290	557
P04406	P07900	1	326	637
P38398	Q01094	1	551	617
P05067	Q9UIK4	1	264	600
O75469	P23443	1	226	379
P29475	Q12879	1	302	707
P51948	Q01094	1	740	617
O14867	P35638	1	289	805
P32119	P49768	1	548	798
P01275	P43220	1	222	477
A4D1B5	P49768	1	209	798
P31749	Q9UQC2	1	2	245
P08670	P60709	1	469	181
P34932	Q13501	1	625	675
O00327	Q92793	1	749	480
P26599	P78362	1	742	531
P21796	Q07812	1	401	773
P02545	P25490	1	42	506
P01106	P06493	1	601	559
P03372	P21266	1	682	807
P02511	P04792	1	555	484
O15350	P06493	1	789	559
P10275	Q99933	1	54	24
P29466	Q9ULZ3	1	552	656
P78352	Q9UPX8	1	81	61
P25942	P29965	1	561	60
P04150	P0CG47	1	486	709
P27348	Q9Y4H2	1	500	213
P08254	P40763	1	71	190
P0CG47	P11586	1	709	187
O15524	Q9Y4H2	1	507	213
P35613	Q03135	1	457	717
P00533	P01137	1	322	314
P19320	P26599	1	58	742
O75791	P14136	1	73	485
P35222	Q92793	1	345	480
P42858	P61086	1	64	116
P07550	P56817	1	664	175
P08047	P35869	1	583	27
O60502	P49841	1	204	412
P01100	P63165	1	602	577
P29474	P49768	1	301	798
P07900	P36956	1	637	320
P11586	P19838	1	187	492
P11831	Q9ULZ3	1	52	656
P26599	Q13148	1	742	691
P04040	P04179	1	147	110
P28482	Q07869	1	558	809
P37840	Q92876	1	173	800
P09651	P24522	1	78	571
P04406	Q9UMX0	1	326	403
P04216	P06241	1	764	816
P48730	Q99996	1	228	598
P18031	P40763	1	19	190
P42338	Q12800	1	693	174
P11142	P14136	1	611	485
O14920	P19838	1	652	492
P02766	P10909	1	53	772
P03372	P38646	1	682	351
P20700	P21796	1	400	401
P38936	P46527	1	564	512
P04798	Q9Y2Q3	1	481	169
P50406	Q9BZC7	1	714	554
P05019	P35858	1	505	514
P21333	P38398	1	489	551
P19793	P19838	1	323	492
P04629	P11137	1	171	79
P12004	P30613	1	814	4
P02751	P30041	1	333	223
P09619	Q03135	1	194	717
P00747	P25116	1	383	279
P01344	P08069	1	344	217
P05067	P20336	1	264	737
P08575	P35222	1	9	345
P04792	Q13148	1	484	691
Q01105	Q15078	1	309	293
P31645	P37840	1	527	173
P17936	Q03135	1	86	717
P14555	P18054	1	338	144
P68363	Q01959	1	3	427
P12830	Q9UPX8	1	730	61
P28482	Q9UQC2	1	558	245
P07900	P17096	1	637	342
P25445	P45983	1	438	375
P02787	P05019	1	654	505
P02751	P08253	1	333	72
P11166	P19320	1	579	58
P01583	P14778	1	573	791
Q15650	Q9ULK4	1	777	799
Q92731	Q92793	1	312	480
O15294	P11831	1	177	52
P00750	P08833	1	157	646
P20333	P38646	1	739	351
P41597	P63165	1	747	577
P07339	P28482	1	327	558
O14867	Q16236	1	289	315
P08047	P17096	1	583	342
Q13541	Q5S007	1	599	133
P01137	P50222	1	314	437
P19525	P42574	1	674	817
P23443	P31749	1	379	2
P17302	P28335	1	765	793
P42574	P50591	1	817	138
P11021	P19838	1	812	492
P27348	Q9NRI5	1	500	360
P08246	P11215	1	676	405
P04114	Q86TM6	1	591	770
P10644	Q9ULZ3	1	636	656
O95433	P09651	1	632	78
Q00535	Q16643	1	32	466
P05067	P11137	1	264	79
P35228	P55072	1	350	495
P28335	P78352	1	793	81
P08697	Q92876	1	595	800
O00548	P46531	1	434	269
P34995	P35354	1	5	224
P28482	P30556	1	558	359
P36956	Q13133	1	320	603
P62993	Q15165	1	231	372
P27348	Q15118	1	500	39
O00429	P10809	1	440	529
P04637	P08670	1	723	469
P12821	P60709	1	152	181
O43464	Q9BXM7	1	55	218
P00441	P24752	1	361	496
P06213	P46108	1	124	686
P11473	Q13501	1	311	675
P00533	P18433	1	322	626
Q05586	Q14114	1	768	357
P46108	P60709	1	686	181
P04150	P15036	1	486	304
O60674	P06241	1	354	816
P11142	P60709	1	611	181
P16220	Q92993	1	468	755
P04629	Q9Y4H2	1	171	213
Q16643	Q9BTE1	1	466	813
Q13153	Q9UM47	1	102	8
P05067	P10809	1	264	529
P40763	P45983	1	190	375
P40763	Q92769	1	190	683
P01042	P08246	1	435	676
P02545	P29466	1	42	552
P14324	P54253	1	596	362
P41180	P55072	1	288	495
P10275	Q96S59	1	54	657
P08253	P80188	1	72	702
P19438	Q12933	1	265	41
P38646	P46108	1	351	686
P46527	Q15078	1	512	293
P04629	P18615	1	171	570
P04629	Q9UBH6	1	171	154
P20338	P60709	1	743	181
P00519	P46527	1	782	512
P07384	P38646	1	754	351
P46527	Q12933	1	512	41
P07101	P63104	1	106	295
P37840	P68363	1	173	3
P28335	Q03135	1	793	717
Q92731	Q9Y2S7	1	312	627
P27348	P30556	1	500	359
P01024	P02787	1	780	654
Q08209	Q9Y2W7	1	74	663
O00429	P63104	1	440	295
P00488	P04792	1	216	484
P10275	Q15392	1	54	655
P06241	Q05586	1	816	768
P00519	Q15303	1	782	638
O96008	Q07812	1	268	773
P68363	Q08752	1	3	416
P00519	P02686	1	782	95
P04629	P06730	1	171	369
P06730	Q16082	1	369	25
P24522	P28482	1	571	558
P35568	P46108	1	113	686
P49810	Q99466	1	283	178
P53355	Q5S007	1	370	133
P51671	P51681	1	34	519
P21796	P63104	1	401	295
P28482	Q13541	1	558	599
P35568	P62993	1	113	231
O15350	Q13526	1	789	472
Q13148	Q9UBN7	1	691	722
P27361	P45983	1	180	375
P07550	P37840	1	664	173
P02545	P06733	1	42	368
P02751	Q00059	1	333	524
Q12988	Q16082	1	553	25
P00533	Q8TF42	1	322	454
P50406	P50570	1	714	127
P29474	Q92743	1	301	549
P07900	P53805	1	637	644
P07900	P10275	1	637	54
P28482	P45983	1	558	375
Q14934	Q16539	1	75	759
Q13469	Q9P2R7	1	111	389
P04629	Q9UM47	1	171	8
P02686	P28482	1	95	558
P11021	P25490	1	812	506
O96017	P51587	1	499	105
P04629	P22735	1	171	63
P17676	P49841	1	783	412
Q01130	Q9UBN7	1	463	722
P12830	P21980	1	730	210
P16070	P16157	1	538	164
P03372	P38398	1	682	551
P01106	Q8IVL0	1	601	146
P05067	P06858	1	264	35
P07384	P18031	1	754	19
P05198	P19320	1	207	58
P14317	P22001	1	467	408
O15350	Q96S59	1	789	657
P10809	P38646	1	529	351
P25490	P55055	1	506	128
P04141	P09651	1	712	78
P00441	P10415	1	361	634
O00468	P05067	1	542	264
O14920	P0CG47	1	652	709
P00519	P35222	1	782	345
P78509	P98155	1	671	227
P00519	Q9UM47	1	782	8
P09622	P11586	1	776	187
P49768	P68363	1	798	3
P10809	P12830	1	529	730
P31749	P35568	1	2	113
O96008	P13639	1	268	183
P31749	P38646	1	2	351
P60709	Q03135	1	181	717
P42574	P49768	1	817	798
P00441	P04040	1	361	147
Q05193	Q05586	1	108	768
P10415	Q14457	1	634	725
P02545	P62993	1	42	231
P01903	P02686	1	29	95
P06241	P25445	1	816	438
P04150	Q08209	1	486	74
P16220	Q16539	1	468	759
P27361	Q9UQC2	1	180	245
P27361	P36956	1	180	320
O75553	P05067	1	445	264
O96017	P05067	1	499	264
P49768	Q8WW43	1	798	620
P12830	Q9NZ52	1	730	56
P43115	Q9BXW9	1	455	87
P43681	P62760	1	719	614
O95760	P10144	1	704	364
P78536	Q15303	1	464	638
P04637	P53779	1	723	172
P03372	Q08752	1	682	416
P16070	P21333	1	538	489
O14920	P21796	1	652	401
P01023	P02766	1	781	53
P00519	P38936	1	782	564
P23443	P28482	1	379	558
O96008	P07900	1	268	637
P08865	P38398	1	518	551
P23297	Q6P1J6	1	562	16
P03372	Q9ULK4	1	682	799
P19320	P63104	1	58	295
P49841	Q16555	1	412	305
O75475	P03372	1	803	682
P19525	Q96FF9	1	674	134
O00499	Q9UKG1	1	36	378
P00519	P06493	1	782	559
P01024	P20702	1	780	399
P09651	P55072	1	78	495
P02686	P14735	1	95	69
P06730	P10809	1	369	529
P04637	P07900	1	723	637
Q8WXG6	Q9H4A3	1	219	563
P34932	Q13148	1	625	691
P25705	Q9H3D4	1	785	125
P07900	Q15078	1	637	293
P04150	Q16620	1	486	715
P08133	P08473	1	349	15
O95197	P41597	1	757	747
O14654	Q13451	1	594	439
P34932	Q12933	1	625	41
P0CG47	Q9UBN7	1	709	722
P49810	P55212	1	283	515
P40189	Q9Y2W7	1	567	663
P00533	P06702	1	322	251
P15104	P62993	1	578	231
P38398	P63104	1	551	295
P16949	P46527	1	235	512
Q02750	Q9H4A3	1	162	563
P00797	P07858	1	459	37
P13987	P21333	1	261	489
P10909	P37173	1	772	343
P11021	P42261	1	812	623
P08047	Q13526	1	583	472
P01374	P68363	1	260	3
Q02750	Q13153	1	162	102
P10636	Q7KZI7	1	588	382
P20810	P62993	1	545	231
P35222	P60709	1	345	181
O75469	Q9UBK2	1	226	711
P25090	Q6NXT4	1	179	184
P09874	Q01094	1	752	617
P02545	Q14416	1	42	46
P25490	Q92769	1	506	683
P02751	P68363	1	333	3
P08670	P51693	1	469	732
O14920	P37231	1	652	259
P47712	Q16539	1	273	759
P45983	Q13469	1	375	111
O95197	P02545	1	757	42
P08709	Q14457	1	336	725
P04114	P11150	1	591	684
P08183	P17676	1	22	783
P06733	Q92769	1	368	683
P11473	P19793	1	311	323
P37231	P42858	1	259	64
P04150	Q96S59	1	486	657
P41180	Q9NV58	1	288	419
P63104	P68363	1	295	3
P09874	P17096	1	752	342
P04637	P27361	1	723	180
P13693	Q5K651	1	10	734
P35568	P63104	1	113	295
P51693	P54257	1	732	241
P04629	P27361	1	171	180
P11473	Q9ULK4	1	311	799
P50222	Q01105	1	437	309
P63000	Q99714	1	44	511
P42336	Q06481	1	695	615
P07237	P10636	1	535	588
P04155	P35222	1	488	345
P08246	P19320	1	676	58
P10275	Q03135	1	54	717
P00533	Q01130	1	322	463
P24386	Q9UNN5	1	211	126
P62993	Q96IZ0	1	231	522
P03372	P28482	1	682	558
P31749	Q14573	1	2	713
P11142	P46108	1	611	686
P49841	Q16236	1	412	315
O14920	P35568	1	652	113
P11802	P12004	1	170	814
P27348	Q9H4A3	1	500	563
P02545	Q9UQ35	1	42	432
P10145	P17676	1	482	783
O75955	P36957	1	356	319
P10275	P14735	1	54	69
P17676	Q9ULK4	1	783	799
O00206	P16671	1	143	397
P04629	Q9ULK4	1	171	799
P05067	P55212	1	264	515
P20339	P30556	1	744	359
P10827	P14859	1	50	539
P08887	P40763	1	150	190
O75553	P51693	1	445	732
P62993	Q9H3D4	1	231	125
P09651	P17096	1	78	342
P06858	P98155	1	35	227
P08133	P37840	1	349	173
P14317	P46531	1	467	269
P35408	Q06830	1	736	341
P01100	Q13469	1	602	111
P08047	Q06546	1	583	384
O14920	Q9NZJ5	1	652	493
P04637	P63104	1	723	295
P02741	P39060	1	576	239
P55055	P56524	1	128	504
P00533	Q9NRX1	1	322	533
P11142	P38398	1	611	551
Q02218	Q9UBN7	1	398	722
P49768	Q9UMX0	1	798	403
P04062	P34932	1	618	625
P00751	P02768	1	158	49
P02751	P11717	1	333	669
P10912	P78362	1	189	531
O95140	Q5S007	1	639	133
O00418	Q13131	1	659	373
P05067	Q13901	1	264	65
P20336	P37840	1	737	173
P07384	P48681	1	754	733
P10275	P21333	1	54	489
Q92731	Q99996	1	312	598
P03372	P68363	1	682	3
P62993	Q13153	1	231	102
P05067	P08138	1	264	346
O15524	P61073	1	507	557
O60674	P55072	1	354	495
P02647	P11597	1	771	530
P02753	P62993	1	335	231
P07550	P11021	1	664	812
P05093	P12830	1	297	730
P01023	Q6ZW49	1	781	568
P42858	P55210	1	64	513
P37231	Q03135	1	259	717
P05067	P41970	1	264	376
P01023	P08246	1	781	676
O95185	P04629	1	694	171
P08246	P28799	1	676	206
P38646	P62993	1	351	231
P24522	P25445	1	571	438
Q01105	Q0VDF9	1	309	140
O14939	P43115	1	430	455
P02647	P02766	1	771	53
P20810	P29466	1	545	552
Q06481	Q92993	1	615	755
P01023	P62993	1	781	231
O43889	P55058	1	436	121
P10275	Q92769	1	54	683
P02686	P07550	1	95	664
P00488	P38936	1	216	564
P01023	P25705	1	781	785
P40189	P62993	1	567	231
Q13131	Q9P0L2	1	373	300
P62993	Q99572	1	231	407
P05091	P10809	1	299	529
P04629	Q99714	1	171	511
P21399	Q13326	1	249	750
P10644	P35520	1	636	82
Q13315	Q92993	1	726	755
P34932	Q9NX09	1	625	255
P23443	P42858	1	379	64
P06241	P06493	1	816	559
P07900	P63104	1	637	295
P18031	P55058	1	19	121
O75955	P04278	1	356	423
P01106	P11802	1	601	170
O60674	P06213	1	354	124
P01344	P11717	1	344	669
P10275	Q08752	1	54	416
P46939	Q08209	1	517	74
P19438	Q9UBH6	1	265	154
P14672	Q99523	1	374	647
Q13541	Q9UJY5	1	599	606
O00429	P30041	1	440	223
Q6ZW49	Q9ULK4	1	568	799
P04629	Q96AC1	1	171	77
P27348	P60174	1	500	544
P05019	P06213	1	505	124
P04629	Q13451	1	171	439
P11021	P19438	1	812	265
P25490	P61073	1	506	557
P08047	P10275	1	583	54
P08246	P14780	1	676	516
P01106	Q8TEL6	1	601	66
P08887	P26441	1	150	528
P04406	P62993	1	326	231
P45983	Q02750	1	375	162
O00499	P35408	1	36	736
P20333	Q03135	1	739	717
P04114	P98164	1	591	786
P00533	P04629	1	322	171
P35222	Q13501	1	345	675
P07858	P09874	1	37	752
P10275	P14859	1	54	539
Q12926	Q9UQ35	1	276	432
P10636	Q13526	1	588	472
P21980	Q14764	1	210	619
P04637	P55072	1	723	495
O75955	P56817	1	356	175
P05067	P23560	1	264	662
P11142	Q92793	1	611	480
P17600	P23297	1	294	562
P06241	Q03135	1	816	717
P04629	P22694	1	171	806
P20674	P42858	1	429	64
P06493	Q92993	1	559	755
P34932	Q9BXM7	1	625	218
P50222	Q92731	1	437	312
P10144	P29466	1	364	552
P00533	P07339	1	322	327
P78352	P98164	1	81	786
P04637	Q16881	1	723	471
P26599	P38398	1	742	551
P11142	P62993	1	611	231
P11142	P46527	1	611	512
P05019	P08069	1	505	217
P10636	P29466	1	588	552
P07900	P60709	1	637	181
P08670	Q14194	1	469	667
P42704	P60709	1	386	181
P05067	P22303	1	264	451
P35222	P48730	1	345	228
P09874	P35222	1	752	345
P53384	Q16769	1	123	470
P35228	P63104	1	350	295
P01137	P05067	1	314	264
Q07866	Q9UQF2	1	804	678
P07384	P20810	1	754	545
P01106	P20226	1	601	525
P05091	Q16082	1	299	25
Q9ULK4	Q9Y2S7	1	799	627
Q15109	Q9NR96	1	325	808
P11021	Q03135	1	812	717
P45983	Q16236	1	375	315
P18031	Q14764	1	19	619
P0CG47	P23945	1	709	705
P04062	P07900	1	618	637
P03372	P08047	1	682	583
P10827	P34932	1	50	625
P35222	P37173	1	345	343
P04406	P12004	1	326	814
O15294	O60502	1	177	204
P25490	Q13753	1	506	700
P07900	P08069	1	637	217
P42892	Q16643	1	366	466
P01308	P98164	1	246	786
O75553	P78509	1	445	671
O14867	Q8N427	1	289	28
P00519	P05067	1	782	264
P50222	Q9H0M4	1	437	253
P01023	P16278	1	781	118
Q13148	Q13310	1	691	546
O15294	P63165	1	177	577
Q16539	Q9UBK2	1	759	711
O14920	P19438	1	652	265
P08047	Q05586	1	583	768
P04792	P38646	1	484	351
P00747	P04792	1	383	484
P20333	P78536	1	739	464
P50222	Q13526	1	437	472
P12830	P46108	1	730	686
P13639	P53355	1	183	370
P04629	P04792	1	171	484
P02751	P17936	1	333	86
P38936	P45983	1	564	375
P40189	P40763	1	567	190
P21796	P25705	1	401	785
P19525	Q9C000	1	674	282
P01100	P40763	1	602	190
P32780	P51948	1	586	740
P04629	Q07866	1	171	804
P02655	P06858	1	193	35
P00533	P16070	1	322	538
P02511	P42574	1	555	817
P27361	P35568	1	180	113
P00533	P04114	1	322	591
P55072	P60709	1	495	181
P50570	Q9UJY5	1	127	606
P03372	Q15303	1	682	638
P08133	P62993	1	349	231
P04637	P08047	1	723	583
P63104	Q01105	1	295	309
P06493	P09936	1	559	475
P14859	P38398	1	539	551
Q92793	Q9UBK2	1	480	711
P20700	P42574	1	400	817
P27348	P35228	1	500	350
P09211	P36957	1	431	319
P04637	P10809	1	723	529
P34932	P54257	1	625	241
P52732	P63104	1	381	295
P17096	P26599	1	342	742
Q01094	Q96EB6	1	617	153
P22301	P40763	1	449	190
Q12800	Q92769	1	174	683
P00533	P42574	1	322	817
P46531	P49810	1	269	283
P00441	Q9NV58	1	361	419
P35222	P37198	1	345	385
P12830	P40189	1	730	567
P48736	Q14457	1	233	725
P55072	Q9UMX0	1	495	403
O43889	Q16698	1	436	778
P42858	P50570	1	64	127
P11142	P27348	1	611	500
P09917	P60709	1	566	181
Q92993	Q9UBN7	1	755	722
O75955	Q8TCT9	1	356	185
P16870	P23560	1	810	662
P38398	Q13310	1	551	546
P07900	Q13451	1	637	439
P02751	P07900	1	333	637
O43464	Q92945	1	55	687
P01023	P21796	1	781	401
P10827	P16220	1	50	468
P04150	P41235	1	486	503
P20700	Q92542	1	400	690
P27361	Q03135	1	180	717
O14654	P46108	1	594	686
P20226	Q13127	1	525	141
P11142	Q08752	1	611	416
P02545	P36956	1	42	320
P00747	P08254	1	383	71
P08069	Q9UMX0	1	217	403
P27348	Q9UQM7	1	500	114
P05067	P54868	1	264	262
P00533	P18031	1	322	19
P06241	P10636	1	816	588
P21333	P30988	1	489	701
P40763	P51681	1	190	519
P02751	P09622	1	333	776
Q05586	Q13555	1	768	797
P10809	P11142	1	529	611
P38936	Q92769	1	564	683
O60674	P00533	1	354	322
P28482	P53004	1	558	668
O14672	P62993	1	117	231
O15061	P62993	1	252	231
P02768	P08709	1	49	336
P04629	P40763	1	171	190
P07237	P38398	1	535	551
O00213	Q01105	1	729	309
P09104	P27797	1	393	221
P09622	P26599	1	776	742
P62993	Q16236	1	231	315
Q06455	Q92769	1	198	683
P10275	P32780	1	54	586
P63104	Q96CV9	1	295	774
P10415	Q9Y287	1	634	510
P62993	Q06830	1	231	341
P35558	Q13501	1	348	675
P28482	P56524	1	558	504
P23443	P63000	1	379	44
O00429	P11586	1	440	187
P00747	P01344	1	383	344
P62993	Q9Y478	1	231	6
Q8IXJ6	Q96EB6	1	195	153
P04629	Q92945	1	171	687
P34932	P49841	1	625	412
P40763	Q9BXM7	1	190	218
P05067	P10636	1	264	588
P10415	Q08209	1	634	74
P05067	Q8NA03	1	264	20
P06213	P28482	1	124	558
P12644	Q6X4U4	1	205	186
O75689	P78362	1	497	531
O60674	P07900	1	354	637
P24752	P36957	1	496	319
O00327	P19793	1	749	323
P00533	Q9Y2Q3	1	322	169
P10827	Q96S59	1	50	657
P00441	P0CG47	1	361	709
P04629	P05091	1	171	299
P03372	P55072	1	682	495
P05067	P18848	1	264	411
O43889	P23141	1	436	426
P63098	Q13469	1	448	111
O94811	P05067	1	628	264
P35228	P47712	1	350	273
P35610	P35613	1	458	457
Q03135	Q14573	1	717	713
P21980	P42574	1	210	817
Q01094	Q92793	1	617	480
P11142	P49815	1	611	285
P08047	P28482	1	583	558
P37840	Q9BRK5	1	173	604
Q13501	Q9UBN7	1	675	722
P23945	Q9UKG1	1	705	378
O60674	P08575	1	354	9
P06733	Q02218	1	368	398
P02686	P45983	1	95	375
P15104	Q99714	1	578	511
P46527	P49815	1	512	285
P30041	Q8IWL8	1	223	523
P55072	P55210	1	495	513
Q96P20	Q9Y2G2	1	254	145
Q96EB6	Q9UBK2	1	153	711
P01375	P19438	1	692	265
P28482	Q9UBN7	1	558	722
P35354	Q5S007	1	224	133
P04792	P27348	1	484	500
P01106	Q9BZC7	1	601	554
P11279	Q9ULZ3	1	760	656
